Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1_mean,CV_F1_std,Train_Accuracy,Overfit_Gap
Logistic Regression,0.7178947368421053,0.7178947368421053,0.7336343115124153,0.6842105263157895,0.7080610021786492,0.7933606648199447,0.7175150587047068,0.011910251332874443,0.7283495656751777,0.010454828833072471
Random Forest,0.7105263157894737,0.7105263157894737,0.7304147465437788,0.6673684210526316,0.6974697469746974,0.7960819944598337,0.7199735736540872,0.01179492139114325,0.7765201368781258,0.06599382108865215
Decision Tree,0.7042105263157895,0.7042105263157894,0.7461928934010152,0.6189473684210526,0.6766398158803222,0.7853340720221608,0.718783953647243,0.009557367229153662,0.7428270597525665,0.038616533436776956
